model,fastMode,microAUPRC,macroAUPRC,microF1,microPrecision,microRecall
Training prevalence,True,0.08227488464997523,0.06493856520015853,0.0,0.0,0.0
One-vs-Rest Logistic Regression,True,0.27709292165811805,0.3142609543083247,0.3027423296225903,0.20966528770214365,0.54443359375
Multi-label MLP,True,0.32488475748557905,0.34646007034638054,0.20829079027976313,0.6367041198501873,0.12451171875
HGNN,True,0.2852747305718242,0.31048480772936565,0.08943645904631531,0.6829268292682927,0.0478515625
