model,trainingRows,validationRows,fastMode,auroc,auprc,f1,precision,recallSensitivity,specificity,brier,ece,threshold,confusionMatrix
Prior Dummy,4271984,638284,False,0.5,0.5380802276102801,0.6996777124510559,0.5380802276102801,1.0,0.0,0.24904049212871415,0.02214939871790844,0.05,"{'tn': 0, 'fp': 294836, 'fn': 0, 'tp': 343448}"
Linear Logistic (SGD),4271984,638284,False,0.8508015812192182,0.8686526065228434,0.7924982971716517,0.7260491412757151,0.8723358412336074,0.6165834565656839,0.159701771780916,0.05033245465686217,0.33999999999999997,"{'tn': 181791, 'fp': 113045, 'fn': 43846, 'tp': 299602}"
Complement Naive Bayes,4271984,638284,False,0.8389916333546336,0.8382541431506194,0.7948348189155534,0.7234429303364346,0.8818598448673453,0.6073003296748023,0.19615227595180315,0.15932655593403477,0.06,"{'tn': 179054, 'fp': 115782, 'fn': 40575, 'tp': 302873}"
LightGBM,4271984,638284,False,0.8596664849866444,0.8766272482137294,0.7993669123318193,0.7399942484282342,0.869098087628986,0.6442836017311319,0.1552664958982906,0.05116412420924343,0.3499999999999999,"{'tn': 189958, 'fp': 104878, 'fn': 44958, 'tp': 298490}"
